state,timestamp,new_votes,votes_biden
Pennsylvania (EV: 20),2020-11-10 17:22:24.126,819,268.0
Pennsylvania (EV: 20),2020-11-10 02:18:36.294,489,162.0
Pennsylvania (EV: 20),2020-11-10 01:37:15.632,582,263.0
Pennsylvania (EV: 20),2020-11-09 23:36:23.197,1479,694.0
Pennsylvania (EV: 20),2020-11-09 22:23:05.122,1148,575.0
Pennsylvania (EV: 20),2020-11-09 21:35:44.283,1705,974.0
Pennsylvania (EV: 20),2020-11-09 21:00:14.724,182,149.0
Pennsylvania (EV: 20),2020-11-09 20:19:13.927,142,49.0
Pennsylvania (EV: 20),2020-11-09 19:30:10.037,776,295.0
Pennsylvania (EV: 20),2020-11-09 18:56:33.936,690,208.0
Pennsylvania (EV: 20),2020-11-09 18:40:02.044,21,5.0
Pennsylvania (EV: 20),2020-11-09 18:30:48.110,344,136.0
Pennsylvania (EV: 20),2020-11-09 17:17:21.054,67,7.0
Pennsylvania (EV: 20),2020-11-09 16:41:11.554,27,6.0
Pennsylvania (EV: 20),2020-11-09 15:57:34.311,3,0.0
Pennsylvania (EV: 20),2020-11-09 14:44:06.866,52,28.0
Pennsylvania (EV: 20),2020-11-09 13:09:27.815,5002,4551.0
Pennsylvania (EV: 20),2020-11-08 21:12:23.845,1858,823.0
Pennsylvania (EV: 20),2020-11-08 20:06:53.837,1376,962.0
Pennsylvania (EV: 20),2020-11-08 18:37:04.583,1709,1570.0
Pennsylvania (EV: 20),2020-11-08 18:26:56.123,855,563.0
Pennsylvania (EV: 20),2020-11-08 15:18:22.676,5164,4526.0
Pennsylvania (EV: 20),2020-11-07 23:15:18.189,607,216.0
Pennsylvania (EV: 20),2020-11-07 21:00:52.182,2425,1284.0
Pennsylvania (EV: 20),2020-11-07 20:23:49.644,1938,1719.0
Pennsylvania (EV: 20),2020-11-07 16:42:02.894,9480,6526.0
Pennsylvania (EV: 20),2020-11-07 16:22:41.988,2850,2486.0
Pennsylvania (EV: 20),2020-11-07 03:42:51.218,3201,2461.0
Pennsylvania (EV: 20),2020-11-07 02:41:31.963,9256,7364.0
Pennsylvania (EV: 20),2020-11-07 01:47:07.682,5184,3992.0
Pennsylvania (EV: 20),2020-11-07 01:05:24.698,205,56.0
Pennsylvania (EV: 20),2020-11-07 00:11:30.489,5497,4169.0
Pennsylvania (EV: 20),2020-11-06 23:49:59.234,437,103.0
Pennsylvania (EV: 20),2020-11-06 23:43:16.543,3878,2997.0
